Course	Room	Teacher	Time	Days	Students
272	84	185	(0, 2)	MWF	1123 1133 1136 1161 1197 1198 1202 1205 1213 1228 1299 1395 1530 1571 1595 1615 1654 1684 1690 1714 1768 1769 1832 1846 1868 1881 1883 1939 2093 2106 2133 2139 2141 2196 2208
273	83	186	(2, 3)	MTWTHF	1154 1242 1301 1624 1747 1803 1872 1963 2001 2028 2091 2229
274	74	187	(10, 11)	MTWTHF	1122 1139 1155 1183 1195 1223 1256 1287 1297 1313 1367 1441 1453 1481 1525 1528 1558 1564 1599 1611 1708 1844 1866 1868 1875 1882 1893 2011 2021 2073 2076 2133 2176 2185 2195 2219 2220 2236 2241 2278 2286 2291 2299
275	75	188	(0, 3)	M	1122 1183 1531 2236 2291
276	74	189	(14, 15)	MTWTHF	1122 1136 1151 1156 1185 1233 1256 1279 1282 1291 1327 1459 1481 1485 1503 1520 1530 1570 1572 1578 1584 1597 1616 1636 1701 1729 1794 1854 1856 1866 1892 1936 1952 2055 2073 2108 2141 2142 2144 2147 2155 2173 2174 2180 2208 2236
277	65	190	(18, 19)	MTWTHF	1414 1419 1438 1481 1510 1516 1572 1722 1724 1831 1851 1854 1862 1916 1969 1993 2076 2155
278	99	191	(6, 8)	MWF	1149 1383 1639
279	99	192	(12, 14)	MWF	1974 1998 2149
280	102	193	(0, 2)	MWF	1124
281	76	184	(3, 5)	TTHF	1123 1141 1226 1269 1342 1415 1464 1487 1505 1548 1562 1600 1612 1616 1627 1653 1671 1720 1724 1780 1826 1862 1940 2045 2087 2121 2227
282	88	181	(5, 7)	MWF	1180 1510 1685 1813 2163 2273
284	103	196	(15, 17)	MWF	1166 1338 1350 1427 1752
285	113	197	(0, 5)	TH	1484 1771 1975 2057 2210
286	113	198	(0, 5)	F	2005
287	81	199	(15, 17)	MWF	1420 1543 1836 2167 2187 2194
288	86	200	(9, 11)	MWF	1142 1221 1298 1314 1366 1371 1419 1480 1537 1545 1572 1614 1636 1658 1745 1766 1815 1857 1874 1903 1922 1980 1990 2027 2082 2112 2230 2277
289	83	201	(0, 1)	MTWTHF	1129 1143 1271 1375 1399 1435 1452 1497 1502 1553 1653 1875 2049 2094 2097 2126 2153 2176 2195 2219 2241 2243 2244 2293
290	127	202	(12, 13)	TTHF	1783
291	113	203	(12, 17)	M	1149 1855 1944 2118
292	62	204	(9, 10)	MTWTHF	1174 1248 1252 1280 1302 1331 1421 1430 1455 1471 1488 1495 1546 1598 1664 1678 1679 1776 1790 1810 1822 1831 1899 1907 1969 1984 2014 2115 2131 2138 2213 2214 2271 2297
293	82	205	(3, 5)	MWF	1125 1151 1195 1197 1233 1341 1379 1399 1429 1564 1619 1743 1853 1903 1920 2105 2107
294	82	206	(15, 17)	MWF	1193 1238 1366 1443 1465 1832 1840 1898 2153 2158
295	62	201	(14, 15)	MTWTHF	1125 1127 1160 1319 1474 1480 1573 1722 1751 1837 1838 1891 1903 1909 2160 2210
296	88	207	(0, 2)	MWF	1125 1194 1302 1438 1474 1489 1828 2066 2074 2179 2223
297	70	208	(0, 2)	MWF	1150 1219 1254 1420 1496 1501 1681 1696 1817 1980 2261
298	86	209	(0, 2)	MWF	1126 1152 1160 1164 1244 1287 1307 1327 1370 1372 1407 1584 1611 1658 1700 1725 1730 1754 1763 1772 1778 1977 2007 2040 2138 2278 2299
299	103	210	(0, 2)	MWF	1231 1922 1937 2038 2147
301	79	212	(0, 2)	MWF	1542 1919 2156
302	65	213	(3, 6)	T	1127 1156 1189 1203 1291 1344 1363 1518 1529 1626 1833 1834 1984 2100 2225 2231
303	86	182	(6, 8)	MWF	1127 1128 1153 1286 1341 1387 1423 1454 1494 1530 1643 1840 1866 1909 1917 2108 2140 2147 2180 2245 2252
304	83	189	(9, 10)	MTWTHF	1206 1272 1278 1283 1309 1320 1356 1360 1394 1413 1474 1532 1754 1775 1786 1820 1821 1923 1959 1962 2077 2158 2190 2196 2279
305	69	216	(15, 17)	MWF	1211 1371 1457 1458 1487 1564 1565 1602 1619 1643 1730 1746 1842 2035 2050 2066 2132
306	74	217	(16, 18)	MWF	1129 1143 1156 1187 1204 1291 1305 1316 1353 1369 1375 1452 1498 1520 1538 1540 1587 1639 1640 1650 1656 1659 1703 1718 1725 1740 1742 1749 1770 1778 1794 1895 1983 2001 2017 2089 2177 2192 2208 2237 2245 2287
307	75	218	(13, 15)	MWF	1130 1550 1685 1853
308	83	219	(4, 5)	MTWTHF	1130 1209 1228 1418 1550 1605 1606 1819 1847 1963 2089 2147 2247
310	110	219	(10, 15)	M	1975
